wallet_address,total_pnl_usd,winrate,total_trades,roi_percentage,avg_trade_size,total_volume,consistency_score,token_metrics,risk_metrics,last_updated
3x8BFPLbmLnGj4VikNmd5LsbjWfwnUJRatGCqLkjZgLi,856.97015,70.96774,93,34.848854,8.65,2469.27,0,[],{},2024-11-22 21:06:34.000000
4YHPtEeea7j4myy1FbnommQK7TMdTTGsJdmnb6R5Azi9,5366.7017,72.5,40,92.46916,72.544624,16973.86,0,[],{},2024-11-22 21:07:47.000000
DCzKTbdbtunA1SLfT6TDXGajUs5nfMYCSWB8e6vE3FZu,1727.6962,60.0,50,53.73168,32.1945,8168.91,0,[],{},2024-11-22 21:07:49.000000
45z2pQhHUTWdbN8MCiJgJPEqFtpvkcATYXfFqThhKbuq,1080.5339,66.666664,39,64.944954,17.527052,3622.19,0,[],{},2024-11-22 21:17:41.000000
9VHw8cGBcDmcbiiQX3mNYNvszj9US5ZMWQohq3Rc9nGM,28489.035,67.85714,56,60.746586,269.2823,76333.7,0,[],{},2024-11-22 21:19:08.000000
9uDYzQMEkAFN4NMu1W6euv4hNrwHvqs4BKcHqBmW5dbW,26977.23,76.53061,98,81.97141,138.5997,50894.11,0,[],{},2024-11-22 21:19:10.000000
Dvx3aF97NNU4JpsagCmCHhEAECg6vz2S5NHKTCbJ5NXw,11713.44,81.333336,75,83.14151,63.0017,21921.91,0,[],{},2024-11-22 21:19:16.000000
26Q9nHn4Ay3Y6FAdJhwwzLScvfySZ9bksgsUSU3a1J88,1125.6952,61.70213,47,45.063732,24.149467,5563.1,0,[],{},2024-11-22 21:21:42.000000
5Hsfh9LSnTxXadE9BGgLGzZvLPVXWe1CiF1zSvke1t1w,1475.8032,66.666664,66,27.361229,45.1705,10703.15,0,[],{},2024-11-22 21:35:01.000000
8F5hWChhnu7jAYU2PtvvydNNjEj7SFLuAvUaGxfkVwVM,14181.302,68.29269,41,62.423016,239.11281,51454.03,0,[],{},2024-11-22 21:35:28.000000
2GGiFt8quTXEU2CXk6aAaPfL7eZdM6iqG9NyfYKjGYes,7099.889,62.7907,43,26.711199,346.072,67474.27,0,[],{},2024-11-22 23:06:27.186322
2jhV9JPp1ZWborMebQYLBLeGGwNVKHi5pBVd3dDkqo7D,994.8789,75.0,32,37.923447,40.98797,6241.32,0,[],{},2024-11-22 23:10:31.349999
